Name,Followers,Rank,tz,AK,PK,D1_AK_sign,D1_PK_sign,D9_AK_sign,D9_PK_sign,D1_distance,D9_distance,D1_kendra,D9_kendra,Either_kendra,paper_D1_dist,paper_D9_dist,paper_D1_kendra,paper_D9_kendra,paper_Either,D1_match,D9_match,Either_match
"Bieber, Justin",41802913,1,America/Toronto,Mercury,Saturn,9,10,5,8,2,4,0,1,1,2,4,0,1,1,True,True,True
"Gaga, Lady",39112244,3,America/New_York,Mercury,Sun,10,11,1,7,2,7,0,1,1,2,7,0,1,1,True,True,True
"Perry, Katy",39241932,2,America/Los_Angeles,Rahu,Jupiter,1,8,10,4,8,7,0,1,1,8,7,0,1,1,True,True,True
"Obama, Barack",34106717,4,Pacific/Honolulu,Mars,Venus,4,2,8,8,11,1,0,1,1,11,1,0,1,1,True,True,True
"Spears, Britney",29235263,8,America/Chicago,Mars,Mercury,4,7,8,6,4,11,1,0,1,4,11,1,0,1,True,True,True
"Timberlake, Justin",22583218,10,America/Chicago,Sun,Venus,9,9,2,9,1,8,1,0,1,1,8,1,0,1,True,True,True
"Winfrey, Oprah",19729924,15,America/Chicago,Rahu,Venus,9,9,9,1,1,5,1,0,1,1,5,1,0,1,True,True,True
"Ronaldo, Cristiano",19574916,16,Atlantic/Madeira,Sun,Jupiter,9,9,3,10,1,8,1,0,1,1,8,1,0,1,True,True,True
"Kardashian, Kim",18192685,17,America/Los_Angeles,Mercury,Jupiter,6,5,1,10,12,10,0,1,1,12,10,0,1,1,True,True,True
"Gomez, Selena",15748109,23,America/Chicago,Rahu,Sun,8,3,1,4,8,4,0,1,1,8,4,0,1,1,True,True,True
"Brown, Chris",12795356,30,America/New_York,Venus,Jupiter,0,1,8,2,2,7,0,1,1,2,7,0,1,1,True,True,True
"Gates, Bill",11998477,37,America/Los_Angeles,Saturn,Sun,6,6,2,9,1,8,1,0,1,1,8,1,0,1,True,True,True
"Dogg, Snoop",10883800,45,America/Los_Angeles,Mars,Saturn,9,1,5,0,5,8,0,0,0,5,8,0,0,0,True,True,True
"Carrey, Jim",10960174,44,America/Toronto,Mars,Rahu,8,3,7,10,8,4,0,1,1,8,4,0,1,1,True,True,True
"Sheen, Charlie",9738596,52,America/New_York,Venus,Jupiter,5,2,4,7,10,4,1,1,1,10,4,1,1,1,True,True,True
"Banks, Tyra",9346376,59,America/Los_Angeles,Rahu,Venus,8,9,1,10,2,10,0,1,1,2,10,0,1,1,True,True,True
"Martin, Ricky",9046878,64,America/Puerto_Rico,Moon,Venus,10,9,2,11,12,10,0,1,1,12,10,0,1,1,True,True,True
"O'Brien, Conan",8515267,71,America/New_York,Rahu,Jupiter,3,11,3,6,9,4,0,1,1,9,4,0,1,1,True,True,True
"Watson, Emma",8619273,69,Europe/Paris,Mercury,Moon,0,8,6,0,9,7,0,1,1,9,7,0,1,1,True,True,True
Will.I.Am,8634459,68,America/Los_Angeles,Moon,Mercury,11,10,10,7,12,10,0,1,1,12,10,0,1,1,True,True,True
"Coelho, Paulo",8195775,75,America/Sao_Paulo,Jupiter,Sun,6,4,2,2,11,1,0,1,1,11,1,0,1,1,True,True,True
"Raymond, Usher",7939187,79,America/Chicago,Venus,Jupiter,6,3,2,6,10,5,1,0,1,10,5,1,0,1,True,True,True
"Lama, Delai",7257505,90,Asia/Shanghai,Mars,Venus,5,4,4,1,12,10,0,1,1,12,10,0,1,1,True,True,True
"O Neal, Shaquille",7363055,88,America/New_York,Mars,Saturn,0,1,6,11,2,6,0,0,0,2,6,0,0,0,True,True,True
"Aguilera, Christina",7318559,89,America/New_York,Mars,Rahu,8,3,8,8,8,1,0,1,1,8,1,0,1,1,True,True,True
"Hanks, Tom",6762386,97,America/Los_Angeles,Venus,Mercury,1,2,5,9,2,5,0,0,0,2,5,0,0,0,True,True,True
"J, Jessie",6535179,105,Europe/London,Mars,Saturn,8,8,8,2,1,7,1,1,1,1,7,1,1,1,True,True,True
"DiCaprio, Leonardo",6945352,95,America/Los_Angeles,Mercury,Mars,8,0,8,3,5,8,0,0,0,5,8,0,0,0,True,True,True
"Alba, Jessica",6074431,122,America/Los_Angeles,Venus,Mars,0,0,6,2,1,9,1,0,1,1,9,1,0,1,True,True,True
"Moore, Demi",5495056,134,America/Denver,Venus,Mercury,6,6,2,11,1,10,1,1,1,1,10,1,1,1,True,True,True
"Efron, Zac",5021969,153,America/Los_Angeles,Saturn,Mars,7,5,10,0,11,3,0,0,0,11,3,0,0,0,True,True,True
